accuracy,latency_avg,n,task
0.83,0.765170245210029,100,arc__cod__2025-06-05T14:51:43.728029+00:00
0.67,2.071748456159694,100,arc__cot__2025-06-05T14:51:43.728029+00:00
0.51,1.9347795040007623,100,gsm8k__cod__2025-06-05T14:51:43.728029+00:00
0.37,2.1324299339602293,100,gsm8k__cot__2025-06-05T14:51:43.728029+00:00
0.59,0.7989729657206044,100,hellaswag__cod__2025-06-05T14:51:43.728029+00:00
0.58,0.9124725125396799,100,hellaswag__cot__2025-06-05T14:51:43.728029+00:00
0.53,0.8015404272881278,100,mmlu__cod__2025-06-05T14:51:43.728029+00:00
0.64,2.176341158820287,100,mmlu__cot__2025-06-05T14:51:43.728029+00:00
0.65,0.6462157074607967,100,strategyqa__cod__2025-06-05T14:51:43.728029+00:00
0.65,0.7498264404303336,100,strategyqa__cot__2025-06-05T14:51:43.728029+00:00
